fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,8,uam_st_8_fa,10086.130707190321,1000.0
9,uam_st_9_fa,7,uam_st_7_fa,6554.880552485126,1000.0
9,uam_st_9_fa,1,uam_st_1_fa,3036.4778212642195,1000.0
9,uam_st_9_fa,2,uam_st_2_fa,6810.406006274789,1000.0
9,uam_st_9_fa,3,uam_st_3_fa,11738.215353871967,1000.0
9,uam_st_9_fa,4,uam_st_4_fa,4404.4098457457985,1000.0
9,uam_st_9_fa,10,uam_st_10_fa,5422.676800792027,1000.0
9,uam_st_9_fa,5,uam_st_5_fa,8385.110688098017,1000.0
9,uam_st_9_fa,6,uam_st_6_fa,8092.726870685053,1000.0
8,uam_st_8_fa,9,uam_st_9_fa,10086.130707190321,1000.0
8,uam_st_8_fa,7,uam_st_7_fa,4438.569589406028,1000.0
8,uam_st_8_fa,1,uam_st_1_fa,7396.634146849703,1000.0
8,uam_st_8_fa,2,uam_st_2_fa,3341.5259792013467,1000.0
8,uam_st_8_fa,3,uam_st_3_fa,3275.150683556407,1000.0
8,uam_st_8_fa,4,uam_st_4_fa,10203.838150421634,1000.0
8,uam_st_8_fa,10,uam_st_10_fa,5494.612816204614,1000.0
8,uam_st_8_fa,5,uam_st_5_fa,2288.1975439196676,1000.0
8,uam_st_8_fa,6,uam_st_6_fa,3766.054965079506,1000.0
7,uam_st_7_fa,9,uam_st_9_fa,6554.880552485126,1000.0
7,uam_st_7_fa,8,uam_st_8_fa,4438.569589406028,1000.0
7,uam_st_7_fa,1,uam_st_1_fa,4772.818661716292,1000.0
7,uam_st_7_fa,2,uam_st_2_fa,2744.4786764183173,1000.0
7,uam_st_7_fa,3,uam_st_3_fa,7289.033955195983,1000.0
7,uam_st_7_fa,4,uam_st_4_fa,8390.444863057024,1000.0
7,uam_st_7_fa,10,uam_st_10_fa,4391.948314814281,1000.0
7,uam_st_7_fa,5,uam_st_5_fa,2203.2094771038,1000.0
7,uam_st_7_fa,6,uam_st_6_fa,5146.323930729584,1000.0
1,uam_st_1_fa,9,uam_st_9_fa,3036.4778212642195,1000.0
1,uam_st_1_fa,8,uam_st_8_fa,7396.634146849703,1000.0
1,uam_st_1_fa,7,uam_st_7_fa,4772.818661716292,1000.0
1,uam_st_1_fa,2,uam_st_2_fa,4055.1089733603253,1000.0
1,uam_st_1_fa,3,uam_st_3_fa,8745.643907077116,1000.0
1,uam_st_1_fa,4,uam_st_4_fa,3676.3623612614815,1000.0
1,uam_st_1_fa,10,uam_st_10_fa,2386.687758145503,1000.0
1,uam_st_1_fa,5,uam_st_5_fa,6063.707880033399,1000.0
1,uam_st_1_fa,6,uam_st_6_fa,5062.772883325639,1000.0
2,uam_st_2_fa,9,uam_st_9_fa,6810.406006274789,1000.0
2,uam_st_2_fa,8,uam_st_8_fa,3341.5259792013467,1000.0
2,uam_st_2_fa,7,uam_st_7_fa,2744.4786764183173,1000.0
2,uam_st_2_fa,1,uam_st_1_fa,4055.1089733603253,1000.0
2,uam_st_2_fa,3,uam_st_3_fa,5186.049669884599,1000.0
2,uam_st_2_fa,4,uam_st_4_fa,7046.036053408771,1000.0
2,uam_st_2_fa,10,uam_st_10_fa,2362.0037930375024,1000.0
2,uam_st_2_fa,5,uam_st_5_fa,2434.1693629836655,1000.0
2,uam_st_2_fa,6,uam_st_6_fa,2411.034305708941,1000.0
3,uam_st_3_fa,9,uam_st_9_fa,11738.215353871967,1000.0
3,uam_st_3_fa,8,uam_st_8_fa,3275.150683556407,1000.0
3,uam_st_3_fa,7,uam_st_7_fa,7289.033955195983,1000.0
3,uam_st_3_fa,1,uam_st_1_fa,8745.643907077116,1000.0
3,uam_st_3_fa,2,uam_st_2_fa,5186.049669884599,1000.0
3,uam_st_3_fa,4,uam_st_4_fa,10578.444734458843,1000.0
3,uam_st_3_fa,10,uam_st_10_fa,6406.36012100475,1000.0
3,uam_st_3_fa,5,uam_st_5_fa,5379.481387643236,1000.0
3,uam_st_3_fa,6,uam_st_6_fa,3760.907603225583,1000.0
4,uam_st_4_fa,9,uam_st_9_fa,4404.4098457457985,1000.0
4,uam_st_4_fa,8,uam_st_8_fa,10203.838150421634,1000.0
4,uam_st_4_fa,7,uam_st_7_fa,8390.444863057024,1000.0
4,uam_st_4_fa,1,uam_st_1_fa,3676.3623612614815,1000.0
4,uam_st_4_fa,2,uam_st_2_fa,7046.036053408771,1000.0
4,uam_st_4_fa,3,uam_st_3_fa,10578.444734458843,1000.0
4,uam_st_4_fa,10,uam_st_10_fa,4722.617600441517,1000.0
4,uam_st_4_fa,5,uam_st_5_fa,9369.430132083808,1000.0
4,uam_st_4_fa,6,uam_st_6_fa,6909.450412297638,1000.0
10,uam_st_10_fa,9,uam_st_9_fa,5422.676800792027,1000.0
10,uam_st_10_fa,8,uam_st_8_fa,5494.612816204614,1000.0
10,uam_st_10_fa,7,uam_st_7_fa,4391.948314814281,1000.0
10,uam_st_10_fa,1,uam_st_1_fa,2386.687758145503,1000.0
10,uam_st_10_fa,2,uam_st_2_fa,2362.0037930375024,1000.0
10,uam_st_10_fa,3,uam_st_3_fa,6406.36012100475,1000.0
10,uam_st_10_fa,4,uam_st_4_fa,4722.617600441517,1000.0
10,uam_st_10_fa,5,uam_st_5_fa,4771.518207028032,1000.0
10,uam_st_10_fa,6,uam_st_6_fa,2683.1213166757852,1000.0
5,uam_st_5_fa,9,uam_st_9_fa,8385.110688098017,1000.0
5,uam_st_5_fa,8,uam_st_8_fa,2288.1975439196676,1000.0
5,uam_st_5_fa,7,uam_st_7_fa,2203.2094771038,1000.0
5,uam_st_5_fa,1,uam_st_1_fa,6063.707880033399,1000.0
5,uam_st_5_fa,2,uam_st_2_fa,2434.1693629836655,1000.0
5,uam_st_5_fa,3,uam_st_3_fa,5379.481387643236,1000.0
5,uam_st_5_fa,4,uam_st_4_fa,9369.430132083808,1000.0
5,uam_st_5_fa,10,uam_st_10_fa,4771.518207028032,1000.0
5,uam_st_5_fa,6,uam_st_6_fa,4262.619147894871,1000.0
6,uam_st_6_fa,9,uam_st_9_fa,8092.726870685053,1000.0
6,uam_st_6_fa,8,uam_st_8_fa,3766.054965079506,1000.0
6,uam_st_6_fa,7,uam_st_7_fa,5146.323930729584,1000.0
6,uam_st_6_fa,1,uam_st_1_fa,5062.772883325639,1000.0
6,uam_st_6_fa,2,uam_st_2_fa,2411.034305708941,1000.0
6,uam_st_6_fa,3,uam_st_3_fa,3760.907603225583,1000.0
6,uam_st_6_fa,4,uam_st_4_fa,6909.450412297638,1000.0
6,uam_st_6_fa,10,uam_st_10_fa,2683.1213166757852,1000.0
6,uam_st_6_fa,5,uam_st_5_fa,4262.619147894871,1000.0
